album_rank,album_name,artist_name,main_genre,release_date,total_year_end_score
1,"The Dark Side of the Moon","Pink Floyd","album rock",1973,630093
2,"Greatest Hits",Journey,"album rock",2006,251240
3,"Legend - The Best Of Bob Marley And The Wailers","Bob Marley & The Wailers",reggae,2002,250052
4,Metallica,Metallica,"hard rock",1991,236526
5,"Greatest Hits","Guns N' Roses","glam metal",2004,191223
6,"Curtain Call: The Hits",Eminem,"detroit hip hop",2005,174900
7,"Nevermind (Deluxe Edition)",Nirvana,"alternative rock",1991,170243
8,"Doo-Wops & Hooligans","Bruno Mars",pop,2010,160598
9,21,Adele,"british soul",2011,156615
10,"Rumours (Super Deluxe)","Fleetwood Mac","album rock",1977,152767
11,"The Eminem Show",Eminem,"detroit hip hop",2002,134746
12,"Thriller 25 Super Deluxe Edition","Michael Jackson",pop,1982,131840
13,"1 (Remastered)","The Beatles","british invasion",2000,129778
14,"Born To Die - The Paradise Edition","Lana Del Rey","dance pop",2012,124532
15,"Led Zeppelin IV (Deluxe Edition)","Led Zeppelin","album rock",1971,124034
16,"Back In Black",AC/DC,"album rock",1980,123762
17,"Night Visions","Imagine Dragons","modern rock",NULL,118455
18,"good kid, m.A.A.d city (Deluxe)","Kendrick Lamar","conscious hip hop",NULL,115559
19,Recovery,Eminem,"detroit hip hop",2010,115360
20,Tapestry,"Carole King","adult standards",NULL,114110
21,"Greatest Hits II (Remastered)",Queen,"glam rock",1991,113460
22,"Take Care (Deluxe)",Drake,"canadian hip hop",NULL,106656
23,"Greatest Hits","Tom Petty and the Heartbreakers","album rock",2008,103381
24,"Abbey Road (Remastered)","The Beatles","british invasion",1969,99041
25,"Hot Rocks (1964-1971)","The Rolling Stones","album rock",1971,98766
26,"The Foundation","Zac Brown Band","contemporary country",2008,97448
27,"MCMXC a.D.",Enigma,downtempo,NULL,94628
28,"You Need To Calm Down","Taylor Swift","dance pop",2019,91223
29,"Mothership (Remastered)","Led Zeppelin","album rock",NULL,90830
30,"The Legend of Johnny Cash","Herthey Hill",-,2013,89269
31,Ten,"Pearl Jam","alternative rock",1991,88692
32,"Nothing Was The Same (Deluxe)",Drake,"canadian hip hop",2013,88245
33,"Here's To The Good Times","Florida Georgia Line","contemporary country",2012,85483
34,"Their Greatest Hits 1971-1975 (2013 Remaster)",Eagles,"album rock",NULL,84608
35,"Fearless (Big Machine Radio Release Special)","Taylor Swift","dance pop",2008,83640
36,"Greatest Hits","Bob Seger","album rock",1994,82303
37,"Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles","british invasion",1967,80259
38,"Remember The Name (feat. Eminem & 50 Cent)","50 Cent","east coast hip hop",2019,77273
39,"The Sound Of Music","Original Soundtrack",-,NULL,76637
40,"Katy Perry - Teenage Dream: The Complete Confection","Katy Perry","dance pop",2012,75166
41,"x (Deluxe Edition)","Ed Sheeran",pop,2014,74730
42,"In The Lonely Hour","Sam Smith",pop,2014,74494
